symbol,period,datetime,open,high,low,close,volume,update_time
300672.XSHG,1day,2020-09-08 15:00:00,55.83,56.05,52.06,53.59,3402941,2020/9/8 15:00
300672.XSHG,1day,2020-09-09 15:00:00,52.85,53.07,50.43,50.52,2928064,2020/9/9 15:00
300672.XSHG,1day,2020-09-10 15:00:00,51.05,51.63,49.75,49.89,1883844,2020/9/10 15:00
300672.XSHG,1day,2020-09-11 15:00:00,49.36,50.65,49.36,50.54,1266165,2020/9/11 15:00
300672.XSHG,1day,2020-09-14 15:00:00,51.2,52.51,50.47,52.13,1428021,2020/9/14 15:00
300672.XSHG,1day,2020-09-15 15:00:00,52.2,54.38,51.26,54.29,3135855,2020/9/15 15:00
300672.XSHG,1day,2020-09-16 15:00:00,53.92,56.28,53.36,55.39,4244165,2020/9/16 15:00
300672.XSHG,1day,2020-09-17 15:00:00,55.34,59.16,55.34,57.06,6214259,2020/9/17 15:00
300672.XSHG,1day,2020-09-18 15:00:00,57.03,57.03,52.56,53.86,5675112,2020/9/18 15:00
300672.XSHG,1day,2020-09-21 15:00:00,52.85,54.39,52.85,52.92,2850139,2020/9/21 15:00
300672.XSHG,1day,2020-09-22 15:00:00,52.4,52.87,51.35,51.75,1964182,2020/9/22 15:00
300672.XSHG,1day,2020-09-23 15:00:00,52.06,53.24,51.77,52.77,1704929,2020/9/23 15:00
300672.XSHG,1day,2020-09-24 15:00:00,52.65,53.13,51.8,51.85,1461530,2020/9/24 15:00
300672.XSHG,1day,2020-09-25 15:00:00,51.97,52.65,51.65,52.1,1016737,2020/9/25 15:00
300672.XSHG,1day,2020-09-28 15:00:00,51.88,52.72,51.85,52.05,1025863,2020/9/28 15:00
300672.XSHG,1day,2020-09-29 15:00:00,52.7,53.25,52.06,52.22,1343685,2020/9/29 15:00
300672.XSHG,1day,2020-09-30 15:00:00,52.21,52.42,51.06,51.3,1212105,2020/9/30 15:00
300672.XSHG,1day,2020-10-09 15:00:00,52.15,52.71,52.01,52.25,1542356,2020/10/9 15:00
