symbol,period,datetime,open,high,low,close,volume,update_time
000001.XSHG,1day,2014-6-6 15:00:00,2040.86,2041.51,2022.25,2029.96,6602174000,2014-6-6 15:00:00
000001.XSHG,1day,2014-6-9 15:00:00,2024.94,2045.26,2023.35,2030.5,6478831600,2014-6-9 15:00:00
000001.XSHG,1day,2014-6-10 15:00:00,2033.21,2052.64,2026.71,2052.53,7962372000,2014-6-10 15:00:00
000001.XSHG,1day,2014-6-11 15:00:00,2049.13,2056.63,2045.42,2054.95,7444435200,2014-6-11 15:00:00
000001.XSHG,1day,2014-6-12 15:00:00,2051.58,2057.04,2046,2051.71,8171118400,2014-6-12 15:00:00
000001.XSHG,1day,2014-6-13 15:00:00,2049.21,2073.49,2048.79,2070.72,9717480800,2014-6-13 15:00:00
000001.XSHG,1day,2014-6-16 15:00:00,2070.7,2087.32,2069.53,2085.98,9593976800,2014-6-16 15:00:00
000001.XSHG,1day,2014-6-17 15:00:00,2080.48,2080.48,2064.7,2066.7,8780048000,2014-6-17 15:00:00
000001.XSHG,1day,2014-6-18 15:00:00,2064.38,2066.91,2051.75,2055.52,8724535200,2014-6-18 15:00:00
000001.XSHG,1day,2014-6-19 15:00:00,2054.62,2059.22,2017.84,2023.73,9291427200,2014-6-19 15:00:00
000001.XSHG,1day,2014-6-20 15:00:00,2013.41,2026.95,2010.59,2026.67,6716724800,2014-6-20 15:00:00
000001.XSHG,1day,2014-6-23 15:00:00,2026.23,2033.02,2023.03,2024.37,7048516000,2014-6-23 15:00:00
000001.XSHG,1day,2014-6-24 15:00:00,2023.7,2034.71,2022.01,2033.93,7121463200,2014-6-24 15:00:00
000001.XSHG,1day,2014-6-25 15:00:00,2030.43,2030.43,2018.47,2025.5,6753960800,2014-6-25 15:00:00
000001.XSHG,1day,2014-6-26 15:00:00,2025.66,2040.52,2025.48,2038.68,8095577600,2014-6-26 15:00:00
000001.XSHG,1day,2014-6-27 15:00:00,2031.91,2043.86,2025.34,2036.51,9759201600,2014-6-27 15:00:00
000001.XSHG,1day,2014-6-30 15:00:00,2038.61,2052.27,2038.61,2048.33,9666660000,2014-6-30 15:00:00
000001.XSHG,1day,2014-7-1 15:00:00,2051.22,2052.5,2041.96,2050.38,9845740800,2014-7-1 15:00:00
000001.XSHG,1day,2014-7-2 15:00:00,2049.48,2060.54,2044.21,2059.42,10955391200,2014-7-2 15:00:00
000001.XSHG,1day,2014-7-3 15:00:00,2051.63,2066.27,2048.19,2063.23,12292658400,2014-7-3 15:00:00
000001.XSHG,1day,2014-7-4 15:00:00,2062.36,2064.91,2054.45,2059.38,10500879200,2014-7-4 15:00:00
000001.XSHG,1day,2014-7-7 15:00:00,2058.13,2063.89,2051,2059.93,9716875200,2014-7-7 15:00:00
000001.XSHG,1day,2014-7-8 15:00:00,2058.13,2064.36,2047.2,2064.02,9505339200,2014-7-8 15:00:00
000001.XSHG,1day,2014-7-9 15:00:00,2061.63,2062.27,2037.67,2038.61,11330584000,2014-7-9 15:00:00
000001.XSHG,1day,2014-7-10 15:00:00,2036.54,2045.53,2035.29,2038.34,9794381600,2014-7-10 15:00:00
000001.XSHG,1day,2014-7-11 15:00:00,2033.87,2051.58,2033.37,2046.96,10508809600,2014-7-11 15:00:00
000001.XSHG,1day,2014-7-14 15:00:00,2047.74,2067.26,2045.06,2066.65,11511974400,2014-7-14 15:00:00
000001.XSHG,1day,2014-7-15 15:00:00,2065.9,2070.36,2059.68,2070.36,12448876800,2014-7-15 15:00:00
000001.XSHG,1day,2014-7-16 15:00:00,2068.34,2075.28,2061.57,2067.28,13712801600,2014-7-16 15:00:00
000001.XSHG,1day,2014-7-17 15:00:00,2062.89,2062.89,2046.42,2055.59,10449180800,2014-7-17 15:00:00
000001.XSHG,1day,2014-7-18 15:00:00,2047.5,2067.18,2046.04,2059.07,10664109600,2014-7-18 15:00:00
000001.XSHG,1day,2014-7-21 15:00:00,2057.77,2061.76,2049.3,2054.48,9385787200,2014-7-21 15:00:00
000001.XSHG,1day,2014-7-22 15:00:00,2050.5,2078.07,2049.91,2075.48,12319187200,2014-7-22 15:00:00
000001.XSHG,1day,2014-7-23 15:00:00,2074.2,2088.19,2072.29,2078.49,13729220800,2014-7-23 15:00:00
000001.XSHG,1day,2014-7-24 15:00:00,2079.63,2107.95,2079.63,2105.06,16567699200,2014-7-24 15:00:00
000001.XSHG,1day,2014-7-25 15:00:00,2108.71,2127.13,2106.71,2126.61,14249582400,2014-7-25 15:00:00
000001.XSHG,1day,2014-7-28 15:00:00,2135.25,2181.18,2135.25,2177.95,23618576000,2014-7-28 15:00:00
000001.XSHG,1day,2014-7-29 15:00:00,2179.83,2193.36,2172.54,2183.19,20026425600,2014-7-29 15:00:00
000001.XSHG,1day,2014-7-30 15:00:00,2178.18,2194.37,2177.36,2181.24,18492219200,2014-7-30 15:00:00
